course_id,class_id,subject_id,noc,total_sessions,credit,start_time,end_time,batch,year
100107462101,0,41,6,60,3,29/07/2023,31/08/2023,3,2022
100107462102,1,41,6,60,3,26/07/2023,30/08/2023,3,2022
100107462901,1,29,12,45,3,10/10/2022,26/12/2022,1,2022
100107463001,0,35,12,45,3,14/02/2023,06/05/2023,2,2022
100107463002,1,35,12,45,3,15/02/2023,06/05/2023,2,2022
100107464801,7,15,6,60,3,10/10/2023,14/11/2023,1,2023
100107464802,6,15,6,60,3,11/10/2023,15/11/2023,1,2023
100107464803,5,15,6,60,3,12/10/2023,16/11/2023,1,2023
100107464901,1,44,6,60,3,12/10/2023,16/11/2023,1,2023
100107464902,0,44,6,60,3,13/10/2023,17/11/2023,1,2023
100107465003,6,4,12,45,3,16/06/2023,25/08/2023,3,2022
100107465101,1,42,12,45,3,11/10/2023,03/01/2024,1,2023
100107465102,0,42,12,45,3,11/10/2023,03/01/2024,1,2023
100107470502,5,3,4,75,3,14/02/2023,07/03/2023,2,2022
100107471601,2,18,6,60,3,15/02/2023,28/03/2023,2,2022
100107471602,3,18,6,60,3,16/02/2023,23/03/2023,2,2022
100107471603,4,18,6,60,3,17/02/2023,11/04/2023,2,2022
100107472401,2,48,6,60,3,14/06/2023,19/07/2023,3,2022
100107472402,3,48,6,60,3,13/06/2023,18/07/2023,3,2022
100107626901,2,31,6,60,3,18/02/2023,25/04/2023,2,2022
100107626903,4,31,6,60,3,18/02/2023,25/03/2023,2,2022
100107627002,3,37,6,60,3,15/06/2023,20/07/2023,3,2022
100107627401,0,40,8,60,3,13/06/2023,15/08/2023,3,2022
100107627402,1,40,8,60,3,13/06/2023,08/08/2023,3,2022
100107463502,0,26,12,60,3,10/10/2022,26/12/2022,1,2022
100107463601,0,38,12,60,3,29/07/2023,31/08/2023,3,2022
100107463602,1,38,12,60,3,29/07/2023,31/08/2023,3,2022
100107465001,2,4,12,45,3,20/07/2021,22/08/2021,3,2021
100107470503,6,3,12,75,3,14/02/2023,06/05/2023,2,2022
100107470504,7,3,12,75,3,14/02/2023,06/05/2023,2,2022
100107470505,10,3,12,75,3,14/02/2023,06/05/2023,2,2022
